Prompt ID,Prompt Type,Prompt Variation,Iteration,Olmo2-13B-zeroshot,Olmo2-13B-oneshot
1.0,ARG,1.0,1.0,Score: 5,Score: 6.0
1.0,ARG,1.0,2.0,Score: 5,Score: 6
1.0,ARG,1.0,3.0,Score: 6,Score: 6.0
1.0,ARG,1.0,4.0,Score: 6,Score: 6
1.0,ARG,1.0,5.0,Score: 5,Score: 5.0
1.0,ARG,2.0,1.0,Score: 5,Score: 6.0
1.0,ARG,2.0,2.0,Score: 5,Score: 6
1.0,ARG,2.0,3.0,Score: 5,Score: 5.5
1.0,ARG,2.0,4.0,Score: 6,Score: 6.0
1.0,ARG,2.0,5.0,Score: 6,Score: 6.0
2.0,ARG,1.0,1.0,Score: 5,Score: 6
2.0,ARG,1.0,2.0,Score: 5,Score: 6
2.0,ARG,1.0,3.0,Score: 5,Score: 5
2.0,ARG,1.0,4.0,Score: 5,Score: 5
2.0,ARG,1.0,5.0,Score: 5,Score: 6
2.0,ARG,1.0,6.0,Score: 5,Score: 5
2.0,ARG,1.0,7.0,Score: 5,Score: 5
2.0,ARG,1.0,8.0,Score: 5,Score: 6
2.0,ARG,1.0,9.0,Score: 5,Score: 6
2.0,ARG,1.0,10.0,Score: 5,Score: 5
3.0,RESP,1.0,0.0,Score: 3,Score: 2.0
3.0,RESP,1.0,1.0,Score: 3,Score: 2
3.0,RESP,1.0,2.0,Score: 3,Score: 3
3.0,RESP,1.0,3.0,Score: 3,Score: 3
3.0,RESP,1.0,4.0,Score: 3,Score: 4
3.0,RESP,2.0,0.0,Score: 3,Score: 3
3.0,RESP,2.0,1.0,Score: 3,Score: 3
3.0,RESP,2.0,2.0,Score: 3,Score: 3
3.0,RESP,2.0,3.0,Score: 3,Score: 3
3.0,RESP,2.0,4.0,Score: 3,Score: 2.5
4.0,RESP,2.0,1.0,Score: 3,Score: 3
4.0,RESP,2.0,2.0,Score: 3,Score: 3
4.0,RESP,2.0,3.0,Score: 3,Score: 3.0
4.0,RESP,2.0,4.0,Score: 3,Score: 3
4.0,RESP,2.0,5.0,Score: 3,Score: 3
4.0,RESP,2.0,6.0,Score: 3,Score: 3
4.0,RESP,2.0,7.0,Score: 3,Score: 3.0
4.0,RESP,2.0,8.0,Score: 3,Score: 3
4.0,RESP,2.0,9.0,Score: 3,Score: 3
4.0,RESP,2.0,10.0,Score: 3,Score: 3.0
5.0,RESP,1.0,1.0,Score: 4,Score: 4
5.0,RESP,1.0,2.0,Score: 4,Score: 4.0
5.0,RESP,1.0,3.0,Score: 4,Score: 4
5.0,RESP,1.0,4.0,Score: 4,Score: 4.0
5.0,RESP,1.0,5.0,Score: 4,Score: 4.0
5.0,RESP,2.0,1.0,Score: 4,Score: 4
5.0,RESP,2.0,2.0,Score: 4,Score: 4
5.0,RESP,2.0,3.0,Score: 4,Score: 4
5.0,RESP,2.0,4.0,Score: 4,Score: 4.0
5.0,RESP,2.0,5.0,Score: 4,Score: 4
6.0,RESP,1.0,1.0,Score: 4,Score: 3.0
6.0,RESP,1.0,2.0,Score: 4,Score: 4.0
6.0,RESP,1.0,3.0,Score: 4,Score: 4.0
6.0,RESP,1.0,4.0,Score: 4,Score: 4.0
6.0,RESP,1.0,5.0,Score: 4,Score: 4
6.0,RESP,2.0,1.0,Score: 4,Score: 4.0
6.0,RESP,2.0,2.0,Score: 4,Score: 3.5
6.0,RESP,2.0,3.0,Score: 4,Score: 4.0
6.0,RESP,2.0,4.0,Score: 4,Score: 4.0
6.0,RESP,2.0,5.0,Score: 4,Score: 4.0
7.0,NARR,1.0,1.0,Score: 24,Score: 8.0
7.0,NARR,1.0,2.0,Score: 14,Score: 4.5
