Prompt ID,Prompt Type,Prompt Variation,Iteration,Olmo2-13B-zeroshot,Olmo2-13B-oneshot
1,ARG,1,1,Score: 5,Score: 5.5
1,ARG,1,2,Score: 6,Score: 5.0
1,ARG,1,3,Score: 6,Score: 6.0
1,ARG,1,4,Score: 6,Score: 6
1,ARG,1,5,Score: 6,Score: 5.0
1,ARG,2,1,Score: 6,Score: 6.0
1,ARG,2,2,Score: 6,Score: 6
1,ARG,2,3,Score: 6,Score: 5.5
1,ARG,2,4,Score: 6,Score: 6.0
1,ARG,2,5,Score: 6,Score: 6.0
2,ARG,1,1,Score: 5,Score: 5
2,ARG,1,2,Score: 5,Score: 6
2,ARG,1,3,Score: 5,Score: 6
2,ARG,1,4,Score: 5,Score: 5
2,ARG,1,5,Score: 5,Score: 5
2,ARG,1,6,Score: 5,Score: 5
2,ARG,1,7,Score: 5,Score: 5
2,ARG,1,8,Score: 5,Score: 5
2,ARG,1,9,Score: 5,Score: 5
2,ARG,1,10,Score: 5,Score: 5
3,RESP,1,0,Score: 3,Score: 3
3,RESP,1,1,Score: 3,Score: 3
3,RESP,1,2,Score: 3,Score: 2
3,RESP,1,3,Score: 3,Score: 3
3,RESP,1,4,Score: 3,Score: 3
3,RESP,2,0,Score: 3,Score: 4
3,RESP,2,1,Score: 3,Score: 3
3,RESP,2,2,Score: 3,Score: 3
3,RESP,2,3,Score: 3,Score: 4.0
3,RESP,2,4,Score: 3,Score: 4
4,RESP,2,1,Score: 3,Score: 3
4,RESP,2,2,Score: 3,Score: 3
4,RESP,2,3,Score: 3,Score: 3
4,RESP,2,4,Score: 3,Score: 3
4,RESP,2,5,Score: 3,Score: 3
4,RESP,2,6,Score: 3,Score: 3
4,RESP,2,7,Score: 3,Score: 5.0
4,RESP,2,8,Score: 3,Score: 3
4,RESP,2,9,Score: 3,Score: 3
4,RESP,2,10,Score: 3,Score: 5
5,RESP,1,1,Score: 4,Score: 4
5,RESP,1,2,Score: 3,Score: 3.0
5,RESP,1,3,Score: 4,Score: 4.0
5,RESP,1,4,Score: 4,Score: 4.0
5,RESP,1,5,Score: 4,Score: 4
5,RESP,2,1,Score: 4,Score: 4
5,RESP,2,2,Score: 4,Score: 4
5,RESP,2,3,Score: 4,Score: 4
5,RESP,2,4,Score: 4,Score: 4.0
