Prompt ID,Prompt Type,Prompt Variation,Iteration,Olmo2-13B-zeroshot,Olmo2-13B-oneshot
1,ARG,1,1,Score: 5,Score: 6.0
1,ARG,1,2,Score: 6,Score: 6.0
1,ARG,1,3,Score: 6,Score: 5.5
1,ARG,1,4,Score: 6,Score: 6.0
1,ARG,1,5,Score: 5,Score: 5.0
1,ARG,2,1,Score: 5,Score: 6.0
1,ARG,2,2,Score: 5,Score: 5
1,ARG,2,3,Score: 5,Score: 6.0
1,ARG,2,4,Score: 5,Score: 5.5
1,ARG,2,5,Score: 6,Score: 6.0
2,ARG,1,1,Score: 5,Score: 5
2,ARG,1,2,Score: 6,Score: 6
2,ARG,1,3,Score: 5,Score: 6
2,ARG,1,4,Score: 5,Score: 6
2,ARG,1,5,Score: 5,Score: 6
2,ARG,1,6,Score: 5,Score: 6
2,ARG,1,7,Score: 5,Score: 6
2,ARG,1,8,Score: 5,Score: 5
2,ARG,1,9,Score: 5,Score: 5
2,ARG,1,10,Score: 5,Score: 5
3,RESP,1,0,Score: 3,Score: 4
3,RESP,1,1,Score: 3,Score: 4
3,RESP,1,2,Score: 3,Score: 3
3,RESP,1,3,Score: 3,Score: 3
3,RESP,1,4,Score: 3,Score: 3
3,RESP,2,0,Score: 3,Score: 4.0
3,RESP,2,1,Score: 3,Score: 3
3,RESP,2,2,Score: 3,Score: 3.5
3,RESP,2,3,Score: 3,Score: 4
3,RESP,2,4,Score: 3,Score: 4.0
4,RESP,2,1,Score: 3,Score: 3
4,RESP,2,2,Score: 3,Score: 3
4,RESP,2,3,Score: 3,Score: 3
4,RESP,2,4,Score: 3,Score: 3
4,RESP,2,5,Score: 3,Score: 3
4,RESP,2,6,Score: 3,Score: 4
4,RESP,2,7,Score: 3,Score: 3.0
4,RESP,2,8,Score: 3,Score: 3
4,RESP,2,9,Score: 3,Score: 3.0
4,RESP,2,10,Score: 3,Score: 3
5,RESP,1,1,Score: 4,Score: 4.0
5,RESP,1,2,Score: 4,Score: 4.0
5,RESP,1,3,Score: 4,Score: 4.0
5,RESP,1,4,Score: 4,Score: 4.0
5,RESP,1,5,Score: 4,Score: 4.0
5,RESP,2,1,Score: 4,Score: 4
5,RESP,2,2,Score: 4,Score: 4
5,RESP,2,3,Score: 4,Score: 4
5,RESP,2,4,Score: 4,Score: 4.0
5,RESP,2,5,Score: 4,Score: 4.0
6,RESP,1,1,Score: 4,Score: 4
6,RESP,1,2,Score: 4,Score: 4.0
6,RESP,1,3,Score: 4,Score: 4.0
6,RESP,1,4,Score: 4,Score: 4.0
6,RESP,1,5,Score: 4,Score: 4
6,RESP,2,1,Score: 4,Score: 4.0
6,RESP,2,2,Score: 4,Score: 4
6,RESP,2,3,Score: 4,Score: 4.0
6,RESP,2,4,Score: 4,Score: 4.0
6,RESP,2,5,Score: 4,Score: 4.0
7,NARR,1,1,Score: 17,Score: 9.0
7,NARR,1,2,Score: 30,Score: 4.5
7,NARR,1,3,Score: 3,Score: 5.0
7,NARR,1,4,Score: 3,Score: 5.0
7,NARR,1,5,Score: 22,Score: 5.0
7,NARR,2,1,Score: 24,Score: 5.0
7,NARR,2,2,Score: 3,Score: 4.75
7,NARR,2,3,Score: 28,Score: 4.75
7,NARR,2,4,Score: 29,Score: 5.25
7,NARR,2,5,Score: 23,Score: 4.75
8,NARR,1,1,Score: 5,
8,NARR,1,2,Score: 6,
8,NARR,1,3,Score: 6,
8,NARR,1,4,Score: 6,
8,NARR,1,5,Score: 6,
8,NARR,2,6,Score: 5,
8,NARR,2,7,Score: 6,
8,NARR,2,8,Score: 6,
8,NARR,2,9,Score: 6,
8,NARR,2,10,Score: 6,
9,LETT,1,0,Score: 35,Score: 30
9,LETT,1,1,Score: 35,Score: 30
9,LETT,1,2,Score: 35,Score: 30
9,LETT,1,3,Score: 35,Score: 32
9,LETT,2,0,Score: 35,Score: 30
9,LETT,2,1,Score: 38,Score: 31
9,LETT,2,2,Score: 30,Score: 36
9,LETT,2,3,Score: 38,Score: 30
9,LETT,3,0,Score: 36,Score: 25
9,LETT,3,1,Score: 35,Score: 30
9,LETT,3,2,Score: 35,Score: 35
9,LETT,3,3,Score: 36,Score: 32
10,SUGG,1,1,Score: 36,Score: 40
10,SUGG,1,2,Score: 35,Score: 35
10,SUGG,1,3,Score: 30,Score: 34
10,SUGG,1,4,Score: 38,Score: 35
10,SUGG,2,1,Score: 35,Score: 35
10,SUGG,2,2,Score: 35,Score: 35
10,SUGG,2,3,Score: 36,Score: 35
10,SUGG,2,4,Score: 38,Score: 35
10,SUGG,3,1,Score: 35,Score: 35
10,SUGG,3,2,Score: 35,Score: 30
10,SUGG,3,3,Score: 34,Score: 34
10,SUGG,3,4,Score: 35,Score: 35
11,COMM,1,1,Score: 35,Score: 31
11,COMM,1,2,Score: 30,Score: 35
11,COMM,1,3,Score: 35,Score: 35
11,COMM,1,4,Score: 32,Score: 28
11,COMM,2,1,Score: 26,Score: 34
11,COMM,2,2,Score: 35,Score: 35
11,COMM,2,3,Score: 28,Score: 35
11,COMM,2,4,Score: 30,Score: 36
11,COMM,3,1,Score: 32,Score: 28
11,COMM,3,2,Score: 35,Score: 28
11,COMM,3,3,Score: 35,Score: 35
11,COMM,3,4,Score: 30,Score: 28
12,LETT,1,1,Score: 28,Score: 30
12,LETT,1,2,Score: 35,Score: 35
12,LETT,1,3,Score: 32,Score: 35
12,LETT,1,4,Score: 30,Score: 30
12,LETT,2,1,Score: 35,Score: 39
12,LETT,2,2,Score: 34,Score: 35
